data,in_date,type,country,department,municipality
1617,2020-07-14,Confirmados,Bolivia,All,All
1351,2020-07-15,Confirmados,Bolivia,All,All
1938,2020-07-16,Confirmados,Bolivia,All,All
1946,2020-07-17,Confirmados,Bolivia,All,All
2036,2020-07-18,Confirmados,Bolivia,All,All
1444,2020-07-19,Confirmados,Bolivia,All,All
1409,2020-07-20,Confirmados,Bolivia,All,All
1366,2020-07-21,Confirmados,Bolivia,All,All
1778,2020-07-22,Confirmados,Bolivia,All,All
1117,2020-07-23,Confirmados,Bolivia,All,All
1204,2020-07-24,Confirmados,Bolivia,All,All
1825,2020-07-25,Confirmados,Bolivia,All,All
1148,2020-07-26,Confirmados,Bolivia,All,All
1752,2020-07-27,Confirmados,Bolivia,All,All
1146,2020-07-28,Confirmados,Bolivia,All,All
1207,2020-07-29,Confirmados,Bolivia,All,All
1700,2020-07-30,Confirmados,Bolivia,All,All
1555,2020-07-31,Confirmados,Bolivia,All,All
2004,2020-08-01,Confirmados,Bolivia,All,All
1360,2020-08-02,Confirmados,Bolivia,All,All
1693,2020-08-03,Confirmados,Bolivia,All,All
1515,2020-08-04,Confirmados,Bolivia,All,All
1780,2020-08-05,Confirmados,Bolivia,All,All
1282,2020-08-06,Confirmados,Bolivia,All,All
1468,2020-08-07,Confirmados,Bolivia,All,All
1164,2020-08-08,Confirmados,Bolivia,All,All
944,2020-08-09,Confirmados,Bolivia,All,All
1636,2020-08-10,Confirmados,Bolivia,All,All
1693,2020-08-11,Confirmados,Bolivia,All,All
1743,2020-08-12,Confirmados,Bolivia,All,All
1388,2020-08-13,Confirmados,Bolivia,All,All
1491,2020-08-14,Confirmados,Bolivia,All,All
1196,2020-08-15,Confirmados,Bolivia,All,All
1198,2020-08-16,Confirmados,Bolivia,All,All
879,2020-08-17,Confirmados,Bolivia,All,All
1796,2020-08-18,Confirmados,Bolivia,All,All
2031,2020-08-19,Confirmados,Bolivia,All,All
1015,2020-08-20,Confirmados,Bolivia,All,All
1370,2020-08-21,Confirmados,Bolivia,All,All
992,2020-08-22,Confirmados,Bolivia,All,All
722,2020-08-23,Confirmados,Bolivia,All,All
999,2020-08-24,Confirmados,Bolivia,All,All
851,2020-08-25,Confirmados,Bolivia,All,All
1095,2020-08-26,Confirmados,Bolivia,All,All
1035,2020-08-27,Confirmados,Bolivia,All,All
1280,2020-08-28,Confirmados,Bolivia,All,All
945,2020-08-29,Confirmados,Bolivia,All,All
614,2020-08-30,Confirmados,Bolivia,All,All
630,2020-08-31,Confirmados,Bolivia,All,All
669,2020-09-01,Confirmados,Bolivia,All,All
661,2020-09-02,Confirmados,Bolivia,All,All
853,2020-09-03,Confirmados,Bolivia,All,All
799,2020-09-04,Confirmados,Bolivia,All,All
661,2020-09-05,Confirmados,Bolivia,All,All
528,2020-09-06,Confirmados,Bolivia,All,All
835,2020-09-07,Confirmados,Bolivia,All,All
704,2020-09-08,Confirmados,Bolivia,All,All
1037,2020-09-09,Confirmados,Bolivia,All,All
860,2020-09-10,Confirmados,Bolivia,All,All
967,2020-09-11,Confirmados,Bolivia,All,All
810,2020-09-12,Confirmados,Bolivia,All,All
809,2020-09-13,Confirmados,Bolivia,All,All
828,2020-09-14,Confirmados,Bolivia,All,All
667,2020-09-15,Confirmados,Bolivia,All,All
586,2020-09-16,Confirmados,Bolivia,All,All
547,2020-09-17,Confirmados,Bolivia,All,All
632,2020-09-18,Confirmados,Bolivia,All,All
419,2020-09-19,Confirmados,Bolivia,All,All
206,2020-09-20,Confirmados,Bolivia,All,All
